marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,35279206,R2UB31YAU4O9TO,B000BBGS40,588999286,"hot tools professional 800 watt ionic soft bonnet hair dryer, black & white",Beauty,5,13,16,N,Y,Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.,"This is my third Hot Tools bonnet dryer in 25 years. I love it: highly recommend it. I, too had the bonnet constantly unhooking from the hose but realized after the second dryer that the bonnet has a notch inside the ring that clicks to keep the connected to the bonnet. The dryer does get very but with 4 heist settings I keep lower it after 10-15 minutes then every five.",8/24/2015
US,22818653,RIGRO8YAV5XL6,B0012HEGCI,66259499,hot tools tourmaline ionic standing hair dryer hood rolling salon wheels stand,Beauty,5,1,1,N,Y,Get the salon feel at home with the Hot Tools Tourmaline Standing Hair Dryer,"My purchase of the Hot Tools Tourmaline Ionic Standing Hair Dryer was a great investment. I love the purple and black color. It has two heat settings, high and low. Two speed settings, high and low, and it has an on/off ionic knob. It has an adjustable pole which is great when you have more than one person using it. It also has wheels so it is easy for me to roll it around the house. This is much better that the hooded dryer that I had to sit on the table and find a chair low enough so I could fit under the hood. I use my dryer on a weekly basis. The hood is very roomy and has a flip up front. I can dry my hair with large rollers with no problem. Now I can get the salon feel of the hair dryer at home.",8/22/2015
US,143938,R1Q31WY7K8V9JI,B007ROD3AG,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",Beauty,1,2,2,N,Y,Well they refund my money but I don't recommend this product,A non working product. Just west of time and energy. Well they refund my money but I don't recommend this product.,8/22/2015
US,137113,R1F9U7LHF7K0TZ,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,5,1,1,N,Y,my new favorite hair dryer,Absolutely the best hair dryer I've ever owned hands down!!!! I love this dryer so freakin fast it's amazing. Came in less than a weeks time. Very pleased!,8/22/2015
US,24988312,R187LAPCJM7V4J,B007ROD3AG,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",Beauty,1,2,2,N,Y,I purchased the dryer about 9 month ago. It ...,I purchased the dryer about 9 month ago. It is alway stay at my home in one place. I occasionally used it and never moved it. Now it can not stand anymore. The plastic base and 3 legs are broken. I called the customer service and they said the warranty only for 60 days.,8/21/2015
US,152043,R2FRB34VLWCLYY,B001QTW2FK,328811288,conair minipro tourmaline ceramic styler / hair dryer; pink,Beauty,5,2,2,N,Y,Five Stars,"I love my hot pink mini-pro, so lightweight and Powerful!  The super cute tote bag is a plus!  Perfect for travel but I use mine everyday.  I didn't think it would be as good as my big, clunky, heavy dryer, but this little baby gets HOT, has a lower setting also.  I have shoulder/ hand issues and now they don't hurt when I blow dry my hair!  Love it!!",8/20/2015
US,52632524,R1UU61RBM66JSV,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,4,2,3,Y,N,Variable heat and speeds -- Excellent safety features.,"Excellent hair dryer with some good features.  Some of these features seem to be from a marketer's mind rather than real.  It won't fix damaged hair...whatever that means.  It won't make your hair shinier, healthier, or improve your already good looks.  However, in real world day-to-day use it is very capable and effective at drying and styling.<br /><br />It feels solid and well built without being too hefty.  It has very solid cord connectors and circuit breaker protection built into the plug...excellent safety features!  The handle and controls are very well placed for ease of use.  They stay cool to the touch during use.  It has 2 speeds and 3 heat settings.  Low speed and low heat works best for us. It puts out a huge amount of hot air at high heat and high speed.  It has a cool air blow feature which is good for finishing the drying process.  It has a couple of attachments, a concentrator and diffuser, which you may find useful.  It definitely is not portable though it is transportable if weight is not an issue.<br /><br />Hair dryers are a commodity and there are a lot of choices.  This unit stands out in a crowded field and should work for almost all hair drying and styling situations and requirements.",8/19/2015
US,32370531,R1NM7MWCXHF2R9,B00JH2C3DE,768062995,panasonic eh-na65-k hair dryer,Beauty,5,2,2,N,Y,Just keeps improving the health of my hair...,"Awesome dryer! I was on the fence for a while but now I'm addicted. Leaves my fine, fizzy, dry hair soft and smooth and my hair just keeps getting healthier. If you are waiting, don't...you just have to try this once and you will be sold!",8/19/2015
US,30477910,R2UBE6B90YYGJ6,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,1,1,1,N,Y,Worth it???no,"This was for 3 months the Best investment yet for my hair. I have used a cheaper hair dryer forever, but this was worth every penny. However it broke and will not shoot out and warm it hot air. Most disappointing product yet in Amazon I have bought because it worked for awhile so well. I have to purchase a new hair dryer...unfortunately it won't be this one again. As a woman who takes pride in her hair I need something more reliable and safe.",8/18/2015
US,50792115,RRMBIV919OM0G,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,Beauty,1,1,1,N,Y,One Star,Did not work in Italy,8/18/2015
US,52861660,R22VIDOXE2PYLS,B0002G214U,685652978,conair soft bonnet hair dryer 1 ea,Beauty,3,1,1,N,Y,Three Stars,Gets the job done. Downfall is the bonnet connection keeps popping off so you must keep reattaching it.,8/18/2015
US,27887946,RHXHE5PZ138KX,B00APV7OWG,443954263,onei mk-ii air ionique hair dryer with ionic generator for professional blowouts,Beauty,1,1,2,N,Y,This is the worst hair dryer I have ever bought,"I want you to send me a new one.  After 1.5 years of using this, it blew up on me.  This is the worst hair dryer I have ever bought.  Even my conair hair dryer from 15 years ago still works.  Please contact me to send me a new one.",8/17/2015
US,13645713,R3M0WYRHB0X911,B0009PL4D8,959834931,turbo power twinturbo 2800 coldmatic hair dryer 314,Beauty,3,8,9,N,Y,Not amazed.,"I really wanted to love this dryer as it comes highly recommended by professional stylists.  I used it twice, it dried my hair quickly and somewhat smooth using a ceramic ion brush.  I was pleased with the results, after all this was a big step up from the half broken one I purchased from Sally's years ago.  Then I visited my mother who recently purchased a new drier, the rusk w8less.  She told me I should try it.  When I used the rusk I was amazed at how fast it dried my hair and how  smooth and silky my hair felt.  I was in LOVE!!! It was a huge step up from the twinturbo.  I had to have the rusk, so I returned the twinturbo.  I could not be happier w the customer service.  Refund was super smooth.  So for the drier 3 stars customer service via Amazon and the seller 5 stars.<br /><br />Pros:  Dries fast, smooth results, nice button position.<br /><br />Cons: Heavy, the wind screen on the back has no cover, just flimsy screen. On both occasions I used the drier my long hair was sucked into the screen, causing it to tangle and burn.  In my opinion this is a design flaw. The hole in the back of the dryer is the circumference of my fist!<br /><br />Look to the rusk w8less!  It's an outstanding dryer!",8/17/2015
US,8709336,RPQX8U7TZ2JPB,B0017WNHYG,380013605,turbo power twin turbo 2600 hair dryer,Beauty,2,1,1,N,Y,I had to super glue it down so the blow dryer wouldn't suck ...,The wire mesh over the vacuum in the back wasn't even attached. I had to super glue it down so the blow dryer wouldn't suck hair into the back of it.,8/17/2015
US,20582824,R3NY2QGY1RPPQG,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,Beauty,5,2,3,N,Y,"Compact, Powerful and Easy to Use","I just really like this hairdryer.  In fact, I purchased this item to replace the exact same hairdryer, which I had for probably about five years before it finally fizzled out.  It's comfortable to hold, it dries my long, thick hair quickly (no easy feat), and leaves my hair smooth and shiny.  I initially replaced my old hairdryer with a different (more expensive) ionic hairdryer, and didn't get the same results.  So I looked for an exact replacement on Amazon, and was pleasantly surprised to find it, not to mention at such a good price.  Needless to say, I didn't hesitate to click the &#34;Buy now with 1-Click&#34; button, and I'm glad that I did.<br /><br />PROS:<br />Tourmaline Ceramic technology - emits infrared heat and negative ions, which makes it gentler on hair and faster drying<br />Lightweight, comfortable to hold and use<br />Long cord<br />Foldable - packs and stores easily and compactly<br /><br />CONS:<br />Doesn't have separate heat and speed settings<br />The on/off switch is a little difficult to use<br />Doesn't have a retractable cord",8/16/2015
US,7599424,R239WG6NZNVP7J,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,Beauty,1,4,4,N,Y,One Star,Junk! Highly NOT RECOMENDED! It was broke for a week used!,8/16/2015
US,42689422,R5ZGQKKWM8EZK,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,Beauty,5,2,3,Y,N,"Great value, heavy duty motor, all the bells and whistles and 4 year warranty!","I already have the D3190A, which is a LOT like this AC215C that I selected for my daughter because she likes this color better than the purple.<br />They both have the &#34;cool shot feature&#34; which we love, and the cleanable filter (*VERY important feature to keep airflow going strong) which is key to its ability to dry hair quickly, you would think all hair dryers would have it!<br /><br />Now to its features: it has the three heat settings & two power settings (*I wish it had 3 power settings!)<br />It has a concentrator and a diffuser which my daughter who has a head full of natural curls says it is an ESSENTIAL attachment to have if you have curls like her.<br />It also has the &#34;ionic (heat protection) technology&#34; that keeps your hair free from frizz & fly aways, it dries hair fast we both have long hair & it doesn't tangle it all up when blow drying on high,<br /><br />* ALL of this is just like the purple D3190A model, where it differs is that this one has a<br />FOUR year warranty as opposed to the D3190A, which only has a 2 yr warranty and they say it has a Salon quality AC motor for 4 times a longer life<br />so, that explains the longer warranty. For $10.00 more you get a better value as this is supposed to last twice as long as the purple D3190A one that is $20.00<br />They both function excellently, if money is tight get the purple D3190A one, if you have the extra $10 I would go with this one!",8/15/2015
US,42644737,R3Q1FG7H6RV3PX,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,4,2,2,Y,N,Nicely Designed 1875 Watt Blow Dryer That's Super Lightweight and A Great Value!,"This is a very good blow dryer. It has three heat and two speed settings, and a cool shot button to help set your style. It's 1875 watts- so it's nice and strong though not as powerful my professional hair dryer that does dry my hair faster. But my hair has been getting split ends and damaged, so I love that this dryer is designed to protect against heat damage. Only time will tell if that feature works, but I sure need it. This also has the usual attachments that I never use but they look the same as what typically comes with a blow dryer. My biggest problem with blow dryers is the motor dies from not regularly cleaning the lint filter (which draws in dust and causes the motor to overheat). So one great feature is this Remington has a removable filter for easy cleaning, and that will definitely prolong the life of the hair dryer if the filter is cleaned out regularly.<br /><br />My hair comes out smooth and nice with the Remington. My favorite part about the design is it's comfortable to hold, the controls are placed well for comfortable use and most of all it's super lightweight. Also, this dryer is not as loud as most others. It looks great in purple too. I do wish the cord was a little longer. It's long enough for plugging into a high outlet in a bathroom, but if I need to use a lower outlet in another room  then the cord is too short for me to stand and dry my hair (though adequate if I sit down). I'm used to a longer cord, so others may not mind the cord length, but I'm taking one star off as I think the cord should be at least a foot longer. Overall, however, I definitely recommend this hair dryer as it has great features, works very well and is such a great value!",8/15/2015
US,46619972,R1LU6MAM378SEH,B00005O0MZ,694290590,conair corp pers care 146np conair ionic conditioning 1875-watt hair dryer,Beauty,2,1,1,N,Y,Doesn't work for long!,"Worked great for about 6 months, then simply would no longer turn on.",8/15/2015
US,11482425,R3272AX2WU9XI8,B00JQIAUDY,888313825,"andis 500-watt professional bonnet hair dryer, black (80610)",Beauty,4,1,1,N,Y,Bonnet opening too small. Should be way more elastic so you can adjust it with the button,haven't gotten to use it yet. Can't get the elastic in the bonnet to open wide enough to get over the rollers. It is a painful attempt even without rollers. I will have to go to JoAnns and get some elastic and rethread the bonnet opening first. So when I finally get to use it I may review with you again.  Did it. Removed the elastic and it works much better. I will still put back in a much longer piece of elastic.,8/15/2015
US,42689422,R7NWIOCA5RVPR,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,5,19,26,Y,N,Love the cool shot feature and that the filter is cleanable!,"Let me start with the removable filter which allows you to  clean the dust out, my previous dryers did not have this option and the filter would clog diminishing the airflow and the drying ability. That is why this is such an important feature to me,you would think all hair dryers would have it!<br />Now to its features: it has 3 heat settings and 2 power settings (*wish there were 3!)<br /> annnd a &#34;cool shot&#34; which Iove, Love, LOVE! I have very thin, fine hair and when I set my hair with heat rollers I use the &#34;cool shot&#34; feature to speed up the &#34;set&#34; and my curls stay in longer as the hair is more cooled down before I take the rollers out so the curls don't fall out as quickly as they used to, my set lasts longer.<br />I use the concentrator but have no need for the diffuser but if you are naturally curly it is a nice attachment to have.<br />It has the heat protection &#34;ionic technology&#34; that helps keep your hair frizz and fly away free, dries hair fast (I have long hair) and doesn't tangle it up when just doing a blow dry and not setting my curls.<br />It has a 2 year warranty and is at a GREAT price for what you get. I would recommend this dryer.",8/15/2015
US,23458206,RYDDWEFO1455V,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,1,2,N,Y,Girl's (2nd) best electronic friend. ;),"Needed a new dryer and have been shopping around for a while.  I've looked at this one online a few times but couldn't justify the price.  Then it  went on sale and I jumped on it.  Just got it, first use.  It's not silver, like the one pictured, but I didn't buy it for color so I don't care (mine is kind of a gunmetal black).  Beautifully packaged, easy to understand directions/ switches (and they should be- I'm drying my hair, not launching a rocket into space).  A bit heavier than my last dryer, but not uncomfortable.  I did notice a really mild chemical odor, but I was using the dryer on its highest setting and I'm guessing it had to do with the casing heating up.  The odor did go away and it was never overpowering and didn't make me think the dryer was going to explode in my hand or anything.  The dryer did NOT dry my thick, mid-back length hair in 5 minutes (as was claimed by another reviewer, I think) but it did SIGNIFICANTLY decrease my drying time.  Took about 22 minutes down from 40-50 (and would still have damp spots), and that was with a little extra time fiddling around styling because.....MY HAIR LOOKS AWESOME.  Seriously.  I could be in a hair products commercial right now, I'm not kidding.  I feel like my gorgeous hair is going to waste just sitting inside writing an Amazon review, but this baby deserves it so I sat right down to do it.  I would have NEVER believed a dryer would make so much difference (otherwise I'd have bought this ages ago), but truly, I look like I just walked out of the salon.  I want to stockpile these so I never have to live without it.  This was a phenomenal deal on sale, but I would pay full price (and then some) knowing what I know now.",8/15/2015
US,43680081,R4RV6DTH4PTJA,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,2,2,N,Y,Five Stars,Loved!!! My hair is dry in less than 5 minutes. The best.,8/15/2015
US,29909178,R1WH2H57EIAU7E,B0054Y2Q4K,352847602,"babyliss pro babfv2 volare ferrari designed professional luxury mid sized hair dryer, 2000 watts, black",Beauty,2,6,6,N,Y,I like using this dryer,"Overall, I like using this dryer, but I have had to get it replaced twice in less than three years. I would not recommend it, as it is not a long-lasting product. My most recent one lasted ten months, and it didn't even get used daily.",8/14/2015
US,51941990,R2B9QG5L6SRRKU,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,5,1,1,Y,N,Wow--that was fast!,"I got this because my old hairdryer was starting to get beat.  I was really surprised at how quickly my hair dried using it.  I have long hair which usually takes a while to dry and literally it took just a few minutes to get it dry.  Really surprising.  And it wasnt superhot either.  I also had more shine, again a surprise.  I dont know how a dryer can shine your hair but it does.  I didnt expect the claims on the box to really be true, particularyl at this dryers price.  A great deal!",8/14/2015
US,16065367,R1EXTDLM1DGFS,B0009XH6V4,670161917,andis micro turbo hair dryer,Beauty,5,1,1,N,Y,Light and powerful,Light and powerful.  Great for travel.  Dries your hair quickly.,8/13/2015
US,53018261,R1O1F7FXVKWKHO,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,3,7,10,Y,N,Was a winner until the heating element gave out too quickly,"I’m always in search of a hair dryer that can blow dry my thick, curly hair as well as my stylist does. (I know … I know … it’s the person not the tool.) When she dries it, she barely has to touch it up with a flat iron. When I dry it … I have to do a little more work to straighten out the wavy stragglers.<br /><br />This review compares the Revlon 1875W Tourmaline Ionic Ceramic Dryer, Remington T|Studio Silk AC Professional Hair Dryer, and this one (Remington Damage Control (DC) Ceramic Hair Dryer).<br /><br />All of them have:<br />  * Same wattage<br />  * Three heat settings<br />  * Two speed settings<br />  * Cool shot feature<br />  * Diffuser and concentrator attachments<br />  * Ionic technology<br />  * Ceramic technology<br />  * Hanging loop<br /><br />The Revlon does not come with a removable filter, the two Remingtons do. (The TStudio doesn’t say it on the box or description. Company website confirms it.) Revlon and Remington Damage Control have tourmaline technology, the TStudio does not.<br /><br />The Revlon’s concentrator attachment stays on. The Remington’s fall off often. If I put the dryer down to adjust my hair, it comes off some of the time. It's hot to put it back on.<br /><br />All three take about the same time to dry my hair. I may have gotten slightly better results (less wavy) with the Remingtons than with the Revlon. I say “may” because the difference wasn’t large enough to be clear. Some days I do a better job than others. Human error, you know.<br /><br />The Damage Control felt like it took less effort and the reason is most likely because it’s the lightest of the three. The shell of the DC and Revlon are plastic while the T|Studio uses better quality materials. But it could be the better quality materials that make it heavier.<br /><br />I can only assume the DC is cheaper than the T|Studio because of its plastic shell even though it has tourmaline technology, which the T|Studio does not.<br /><br />I’ve yet to try the diffusers. Whenever I wear my hair curly, I let it dry naturally. That’s the whole point of going curly – not having to do any hair drying. As for noise – I can’t answer which one is quietest because I’m deaf. It’s not a good idea to wear hearing aids while drying wet hair. :)<br /><br />The winner? The Remington DC because it takes the least amount of effort to use and produces the same results as the others. The T|Studio is just too heavy and the Revlon doesn’t perform as well as the DC.<br /><br />Update November 16, 2015: I downgraded the dryer from 5 stars to 3 stars because the heating element is giving out. It has been getting as hot in the last couple of weeks. When I switched back to an older dryer, I could see a big difference. Lasted only three months.enever I wear my hair curly, I let it dry naturally. That’s the whole point of going curly – not having to do any hair drying. As for noise – I can’t answer which one is quietest because I’m deaf. It’s not a good idea to wear hearing aids while drying wet hair. :)<br /><br />The winner? The Remington DC because it takes the least amount of effort to use and produces the same results as the others. The T|Studio is just too heavy and the Revlon doesn’t perform as well as the DC.<br /><br />Update November 16, 2015: I downgraded the dryer from 5 stars to 3 stars because the heating element is giving out. It has been getting as hot in the last couple of weeks. When I switched back to an older dryer, I could see a big difference. Lasted only three months.",8/13/2015
US,14764037,R9SYX5GRRW5VU,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,Beauty,3,1,2,Y,N,Takes twice as long to dry my hair with this model vs other Remington hair dryers :(,"I have multiple Remington hairdryers and this is my least favorite.  It is loud and heavy to hold.  It actually takes longer to dry my hair than the other ones I own.  Love the color, but thats about it.  The other two Remington hair dryers I own have added benefits of smoothing or taming frizz, etc... this one doesn't do any of that... it's just a normal, no thrills hair dryer and takes almost twice as long to dry my hair on the highest, hottest setting :(  The motor doesn't seem as strong in this one.  Would not purchase in the future.",8/13/2015
US,33855098,R1V0QYK52DC7LC,B001QTW2FK,328811288,conair minipro tourmaline ceramic styler / hair dryer; pink,Beauty,4,1,1,N,Y,Good things come in small packages,"Needed to get a less powerful blow dryer when I moved to a place with crappy outlets that were killing my other dryers. The MiniPro is super tiny and looks like it could be for a doll, but surprisingly works great for me. Made well and feels sturdy. My dry time seems to be shorter. I have fine hair though. My stepdaughter has long medium hair and it dried her pretty quick as well. Love the color. Very light weight and will be perfect for travel. Especially love the travel bag it comes with, so cute! Been using this dryer a few weeks now and no complaints. Only wish is that it had a cool setting.",8/13/2015
US,13180082,R2BX3EK1PH98LB,B0009XH6W8,568981338,andis hangup 1600w hair dryer with cord hanger,Beauty,4,1,1,N,Y,Be careful!,Nice little unit but it will fry your body parts if you're not careful.  Very powerful.,8/12/2015
US,958722,R2FSGPRB45J8K8,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,Beauty,3,2,3,N,Y,It's not perfect.,"It's ok for the price.<br /><br />The plastic feels cheap, the sliding button occasionally is difficult to move and when removing the difusser, i feel as i may break it. The plug isn't the most secure either, seeming to fit loosely in the socket. Despite this, it gets hot enough for my needs and hasn't failed me yet after about 6 months of use. If you need a cheap blow dryer this is a great pick.",8/12/2015
US,43192392,R1B0RWNKK0FP61,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,1,7,27,N,Y,Disappointed,Was a great dryer. Loved it. However it burned out within 2 months.,8/12/2015
US,31451050,R2S8YOX0S264S2,B002BFX6EO,391944105,sedu revolution professional hair dryer (4000i),Beauty,3,5,6,N,Y,Not good!! The hair dryer is also heavy and ...,"For the price (and based on other reviewers), I was expecting a lot more.  I have very long, thick hair and the Sedu Revolution does dry my hair faster (cut about 10 minutes off drying time); however, it actually makes my hair more frizzy!  Not good!!  The hair dryer is also heavy and loud!!!  Based on the packaging, it looks like I received a previously used blow dryer that someone else returned.  I would never recommend this blow dryer to anyone!",8/11/2015
US,4486755,R2AWTYZ43AR28N,B000A3I2X4,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",Beauty,2,1,1,N,Y,High setting stopped working on second use,"Delivery was fast, within a week. The first time using it I noticed that on all 3 settings the air is just warm, doesn't get very hot, which I thought wasn't that big of a deal considering my hair is bleached and I shouldn't be putting a lot of heat on it anyway. The second time I used it the high setting just didn't work, I switched it from medium to high and it just turned off when on the high setting. I had already thrown out the packaging at this point so since it was only like $13 I didn't feel like it was really even worth it to try to return.",8/11/2015
US,11170395,R23628CKGV10AK,B00MEBKQ8E,646149518,"panasonic hair dryer nano care, vivid pink, 1 ounce",Beauty,5,1,1,N,Y,love it !! amazing !!,amazing dryer !! it makes my hair soft and easy dry. Even though the price is expensive but I really recommend this product to others ! i like pink color very pretty. very useful !!!!,8/11/2015
US,49056855,R7DGK9I2XDQ72,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,5,1,1,N,Y,"Bought two, I liked it so much!","Found this gem in a hotel in Savannah and liked it so much I took a photo and found it on Amazon.  Bought two, one for each bathroom.",8/10/2015
US,49568180,R2I6PFWHZW9PHL,B001QTW2FK,328811288,conair minipro tourmaline ceramic styler / hair dryer; pink,Beauty,5,1,1,N,Y,Adorable and Great for Fine Hair.,"Works great! It's so cute! Wonderfully small and pretty hot pink color. It does the job! I have fine hair and this dryer doesn't overpower me or my hair. Nice and lightweight. You might think, oh, this little thing isn't going to do anything, but it DOES! Highly recommended for fine hair.",8/9/2015
